clustering_mode,model,rand_score,cluster_split,comparing_mode
AgglomerativeClustering,no_tomas_stemmed,0.06676204101096801,2,best
AgglomerativeClustering,no_tomas_stemmed,-0.060570071258907406,4,real
AgglomerativeClustering,trigrams,0.7852298417483045,6,best
AgglomerativeClustering,trigrams,0.49316851008458035,4,real
AgglomerativeClustering,no_tomas_stemmed_no_stop,0.06676204101096801,2,best
AgglomerativeClustering,no_tomas_stemmed_no_stop,-0.09250000000000001,4,real
AgglomerativeClustering,identity_analysis_1,0.16176470588235295,4,best
AgglomerativeClustering,identity_analysis_1,0.16176470588235295,4,real
AgglomerativeClustering,no_tomas_baker,-0.022185246810870803,2,best
AgglomerativeClustering,no_tomas_baker,-0.1301115241635688,4,real
AgglomerativeClustering,lemmatized,0.22634730538922154,5,best
AgglomerativeClustering,lemmatized,0.06323687031082535,4,real
AgglomerativeClustering,stemmed_txts,0.06676204101096801,2,best
AgglomerativeClustering,stemmed_txts,-0.09250000000000001,4,real
AgglomerativeClustering,primitive,-0.022185246810870803,2,best
AgglomerativeClustering,primitive,-0.1496421600520495,4,real
AgglomerativeClustering,stanford_ner_no_thomas_baker,0.7777013076393668,5,best
AgglomerativeClustering,stanford_ner_no_thomas_baker,0.4809976247030879,4,real
AgglomerativeClustering,bigrams,0.3034953111679454,8,best
AgglomerativeClustering,bigrams,0.20233998623537508,4,real
AgglomerativeClustering,named_ent_2_no_tomas_barker,0.7984848484848485,6,best
AgglomerativeClustering,named_ent_2_no_tomas_barker,0.7446236559139784,4,real
AgglomerativeClustering,identity_analysis_2,0.4344328238133548,9,best
AgglomerativeClustering,identity_analysis_2,0.06323687031082535,4,real
AgglomerativeClustering,no_repeated_words,0.9306062819576333,7,best
AgglomerativeClustering,no_repeated_words,0.33371040723981904,4,real
AgglomerativeClustering,no_stop_words,0.02229845626072041,9,best
AgglomerativeClustering,no_stop_words,-0.10854816824966075,4,real
AgglomerativeClustering,stanford_ner_txts,0.3807890222984563,10,best
AgglomerativeClustering,stanford_ner_txts,0.34076827757125155,4,real
KMeans,no_tomas_stemmed_ent1,0.25932203389830505,9,best
KMeans,no_tomas_stemmed_ent1,0.14703968770331813,4,real
KMeans,no_tomas_stemmed,0.11840000000000003,7,best
KMeans,no_tomas_stemmed,0.020352781546811426,4,real
KMeans,trigrams,0.2287822878228782,8,best
KMeans,trigrams,-0.058949624866023516,4,real
KMeans,no_tomas_stemmed_no_stop,0.23666910153396642,6,best
KMeans,no_tomas_stemmed_no_stop,0.17503392130257805,4,real
KMeans,identity_analysis_1,0.19457956914523977,6,best
KMeans,identity_analysis_1,-0.05698778833107188,4,real
KMeans,no_tomas_baker,0.12347354138398917,4,best
KMeans,no_tomas_baker,0.12347354138398917,4,real
KMeans,lemmatized,0.5642807505211953,6,best
KMeans,lemmatized,0.10494931425163982,4,real
KMeans,stemmed_txts,0.1506622516556291,9,best
KMeans,stemmed_txts,0.020352781546811426,4,real
KMeans,primitive,0.17503392130257805,4,best
KMeans,primitive,0.17503392130257805,4,real
KMeans,stanford_ner_no_thomas_baker,0.13702848344880678,7,best
KMeans,stanford_ner_no_thomas_baker,0.05510752688172045,4,real
KMeans,bigrams,0.27040000000000003,9,best
KMeans,bigrams,-0.058949624866023516,4,real
KMeans,named_ent_2_no_tomas_barker,0.5032679738562091,3,best
KMeans,named_ent_2_no_tomas_barker,0.07255936675461744,4,real
KMeans,identity_analysis_2,0.3365921787709497,6,best
KMeans,identity_analysis_2,0.2304469273743017,4,real
KMeans,no_repeated_words,0.2491017964071856,5,best
KMeans,no_repeated_words,0.0836012861736335,4,real
KMeans,no_stop_words,0.1492537313432836,4,best
KMeans,no_stop_words,0.1492537313432836,4,real
KMeans,stanford_ner_txts,0.1562021439509954,6,best
KMeans,stanford_ner_txts,0.051395007342143924,4,real
MiniBatchKMeans,no_tomas_stemmed_ent1,0.3469721767594108,8,best
MiniBatchKMeans,no_tomas_stemmed_ent1,-0.060570071258907406,4,real
